管轄分団,出火日時,注意報１,注意報２,注意報３,注意報４,注意報５,警報１,警報２,警報３,警報４,警報５,建物番号,火元区分,焼損程度,構造,焼損　床面積（㎡）,焼損　表面積（㎡）,火災種別,出火原因,天気,気温,相対湿度,火災警報,風位,風速,積雪量
第６方面隊丹生分団,1月31日,乾燥,強風,低温,波浪,注意報,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,不明・調査中,晴,5,34,発令無,北西,4,
第１方面隊春日分団,1月31日,乾燥,強風,雷,波浪,注意報,,,,,,1,火元,部分焼,耐火建築物,6,,建物火災,不明・調査中,曇,3,54,発令無,南南西,2,0
第１方面隊中島分団,2月6日,強風,波浪,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,その他,曇,5,68,発令無,北西,3,0
第３方面隊吉野分団,1月19日,乾燥,,,,,,,,,,,,,,,,林野火災,不明・調査中,晴,12,54,発令無,北東,1,
第２方面隊三佐分団,2月15日,強風,波浪,,,,,,,,,,,,,,,その他の火災,溶接機・切断機,晴,10,49,発令無,北西,5,
第６方面隊坂ノ市分団,2月17日,強風,大雪,着雪,波浪,注意報,,,,,,,,,,,,船舶火災,取灰,雨,6,81,発令無,北西,2,
第２方面隊高田分団,2月8日,乾燥,強風,低温,波浪,,,,,,,,,,,,,その他の火災,たき火,晴,6,25,発令無,南南東,5,
第１方面隊桃園分団,2月24日,乾燥,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,12,57,発令無,西北西,2,
第１方面隊南大分分団,2月27日,,,,,,,,,,,1,火元,部分焼,木造建築物,10,,建物火災,電灯・電話等の配線,曇,2,95,発令無,南,1,
第１方面隊大道分団,2月17日,乾燥,,,,,,,,,,1,火元,全焼,木造建築物,41,,建物火災,こたつ,曇,7,64,発令無,南東,3,
第１方面隊日岡分団,1月31日,,,,,,,,,,,1,火元,全焼,木造建築物,108,,建物火災,灯火,晴,5,34,発令無,北北西,3,
第５方面隊大在西分団,2月22日,乾燥,,,,,,,,,,1,火元,全焼,木造建築物,116,,建物火災,放火,晴,4,73,発令無,南南西,1,
第６方面隊丹生分団,2月7日,,,,,,,,,,,1,火元,部分焼,木造建築物,6,,建物火災,たき火,晴,6,67,発令無,南南東,1,
第５方面隊大在東分団,2月8日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,電気機器,晴,2,82,発令無,南南東,0,
第１方面隊春日分団,2月1日,乾燥,,,,,,,,,,1,火元,部分焼,木造建築物,5,,建物火災,電灯・電話等の配線,曇,6,56,発令無,西北西,6,
第１方面隊大道分団,2月17日,乾燥,,,,,,,,,,2,類焼,部分焼,木造建築物,18,,建物火災,こたつ,曇,7,64,発令無,南東,3,
第１方面隊日岡分団,1月31日,,,,,,,,,,,2,類焼,ぼや,防火構造建築物,0,0,建物火災,灯火,晴,5,34,発令無,北北西,3,
第５方面隊大在西分団,2月22日,乾燥,,,,,,,,,,2,類焼,部分焼,防火構造建築物,,13,建物火災,放火,晴,4,73,発令無,南南西,1,
第５方面隊大在西分団,2月22日,乾燥,,,,,,,,,,3,類焼,部分焼,防火構造建築物,,8,建物火災,放火,晴,4,73,発令無,南南西,1,
第１方面隊大道分団,2月17日,乾燥,,,,,,,,,,3,類焼,ぼや,木造建築物,,0,建物火災,こたつ,曇,7,64,発令無,南東,3,
第１方面隊滝尾分団,1月22日,強風,雷,波浪,,,,,,,,,,,,,,その他の火災,焼却炉,晴,6,54,発令無,西北西,7,
